b_code,b_name,b_type,b_gudok,b_author,b_publish,b_page,b_price,b_cdate,b_rdate,b_bookcover,b_coversize,b_des
110129864,베러티,novel,Y,콜린 후버 저/민지현 역,미래지향,365,14400 ,2022-12-07,2019-12-05,http://image.yes24.com/goods/110129864/L,0,책설명
115806852,세 형제의 숲,novel,Y,알렉스 슐만 저/송섬별 역,다산책방,365,14400 ,2022-12-07,2019-12-06,http://image.yes24.com/goods/115806852/L,0,책설명
115801104,마법의 박물관,novel,Y,최예슬 저,BOOKK(부크크),365,13800 ,2022-12-07,2019-12-07,http://image.yes24.com/goods/115801104/L,0,책설명
112332167,이야기의 핵심 누구보다 빠르게 완벽한 이야기를 만드는 기본 작법,novel,Y,리비 호커 저/안은주 역,한스미디어,365,12600 ,2022-12-07,2019-12-08,http://image.yes24.com/goods/112332167/L,0,책설명
102716751,루팡의 딸 2,novel,Y,요코제키 다이 저/권하영 역,북플라자,365,13500 ,2022-12-07,2019-12-09,http://image.yes24.com/goods/102716751/L,0,책설명
102684333,비밀 [ 양장 ],novel,Y,히가시노 게이고 저/양윤옥 역,소미미디어,365,15120 ,2022-12-07,2019-12-10,http://image.yes24.com/goods/102684333/L,0,책설명
7979860,안나 카레니나 세트 [ 전3권(케이스 포함) ],novel,Y,레프 톨스토이 저,민음사,365,27720 ,2022-12-07,2019-12-11,http://image.yes24.com/goods/7979860/L,0,책설명
3452430,면도날,novel,Y,윌리엄 서머싯 몸 저/안진환 역,민음사,365,11700 ,2022-12-07,2019-12-12,http://image.yes24.com/goods/3452430/L,0,책설명
1938956,톨스토이 단편선 [ 증보판 ],novel,Y,레프 톨스토이 저/김은경 역,인디북,365,8100 ,2022-12-07,2019-12-13,http://image.yes24.com/goods/1938956/L,0,책설명
72349693,숨 EXHALATION [ 반양장 ],novel,Y,테드 창 저/김상훈 역,엘리,365,14850 ,2022-12-07,2019-12-14,http://image.yes24.com/goods/72349693/L,0,책설명
115303026,누가 이 침대를 쓰고 있었든 [ 양장 ],novel,Y,레이먼드 카버 저/정영목 역,문학동네,365,14400 ,2022-12-07,2019-12-15,http://image.yes24.com/goods/115303026/L,0,책설명
115255507,엄마가 계약결혼 했다 세트 [ 전4권 초판한정부록 : 일러스트 엽서 3종 + 렌티큘러 책갈피 양장 ],novel,Y,시야 저,패러그래프,365,90000 ,2022-12-07,2019-12-16,http://image.yes24.com/goods/115255507/L,0,책설명
114656779,어디선가 눈물은 발원하여,novel,Y,정현종 저,문학과지성사,365,10800 ,2022-12-07,2019-12-17,http://image.yes24.com/goods/114656779/L,0,책설명
110685913,영원한 우정으로 2,novel,Y,넬레 노이하우스 저/전은경 역,북로드,365,14220 ,2022-12-07,2019-12-18,http://image.yes24.com/goods/110685913/L,0,책설명
110685711,영원한 우정으로 1,novel,Y,넬레 노이하우스 저/전은경 역,북로드,365,14220 ,2022-12-07,2019-12-19,http://image.yes24.com/goods/110685711/L,0,책설명
109888114,자기돌봄의 시 지금 내 마음에 필요한 시를 엮다,novel,Y,배정애박지영 그림/나태주 편,북로그컴퍼니,365,14220 ,2022-12-07,2019-12-20,http://image.yes24.com/goods/109888114/L,0,책설명
106228445,당신 거기 있어줄래요? Seras-tu la?,novel,Y,기욤 뮈소 저/전미연 역,밝은세상,365,13500 ,2022-12-07,2019-12-21,http://image.yes24.com/goods/106228445/L,0,책설명
105370573,어느 날 너의 심장이 멈출 거라 말했다,novel,Y,클로에 윤 저,팩토리나인,365,12600 ,2022-12-07,2019-12-22,http://image.yes24.com/goods/105370573/L,0,책설명
104688471,브로콜리 펀치,novel,Y,이유리 저,문학과지성사,365,12600 ,2022-12-07,2019-12-23,http://image.yes24.com/goods/104688471/L,0,책설명
101758676,문명 2 [ 양장 ],novel,Y,베르나르 베르베르 저/전미연 역,열린책들,365,13320 ,2022-12-07,2019-12-24,http://image.yes24.com/goods/101758676/L,0,책설명
99111756,달까지 가자,novel,Y,장류진 저,창비,365,12600 ,2022-12-07,2019-12-25,http://image.yes24.com/goods/99111756/L,0,책설명
78217545,거짓말이 보이는 나는 솔직한 너에게 사랑을 했다,novel,Y,사쿠라이 미나 저/주승현 역,제우미디어,365,11520 ,2022-12-07,2019-12-26,http://image.yes24.com/goods/78217545/L,0,책설명
43631898,남한산성 [ 개정판 ],novel,Y,김훈 저,학고재,365,14400 ,2022-12-07,2019-12-27,http://image.yes24.com/goods/43631898/L,0,책설명
34705631,데미안 : 오리지널 초판본 표지디자인 [ 최신 원전 완역본 ],novel,Y,헤르만 헤세 저,코너스톤(도서),365,2970 ,2022-12-07,2019-12-28,http://image.yes24.com/goods/34705631/L,0,책설명
11406090,수학자의 아침,novel,Y,김소연 저,문학과지성사,365,8100 ,2022-12-07,2019-12-29,http://image.yes24.com/goods/11406090/L,0,책설명
7271673,구르브 연락 없다,novel,Y,에두아르도 멘도사 저/정창 역,민음사,365,9900 ,2022-12-07,2019-12-30,http://image.yes24.com/goods/7271673/L,0,책설명
2661477,무진기행 김승옥 소설집,novel,Y,김승옥 저,민음사,365,8100 ,2022-12-07,2019-12-31,http://image.yes24.com/goods/2661477/L,0,책설명
318766,눈먼 자들의 도시 [ 탄생 100주년 기념 스페셜 에디션 양장 개정판 ],novel,Y,주제 사라마구 저/정영목 역,해냄,365,16920 ,2022-12-07,2020-01-01,http://image.yes24.com/goods/318766/L,0,책설명
63681,삶의 한가운데,novel,Y,루이제 린저 저,민음사,365,9900 ,2022-12-07,2020-01-02,http://image.yes24.com/goods/63681/L,0,책설명
17396,파리대왕,novel,Y,윌리엄 골딩 저,민음사,365,7650 ,2022-12-07,2020-01-03,http://image.yes24.com/goods/17396/L,0,책설명
2549,파우스트 2,novel,Y,요한 볼프강 폰 괴테 저,민음사,365,9900 ,2022-12-07,2020-01-04,http://image.yes24.com/goods/2549/L,0,책설명
115535330,줄리엣과 줄리엣 희곡집 에세이,novel,Y,한송희 저,더퀘스트,365,29700 ,2022-12-07,2020-01-05,http://image.yes24.com/goods/115535330/L,0,책설명
115569730,내가 이유인 것 같아서,novel,Y,이우성 저,문학과지성사,365,10800 ,2022-12-07,2020-01-06,http://image.yes24.com/goods/115569730/L,0,책설명
115208445,햇빛 마중 [ 작가 친필 사인본 (선착순 한정) 양장 ],novel,Y,문진영 저/박정은 그림,마음산책,365,13500 ,2022-12-07,2020-01-07,http://image.yes24.com/goods/115208445/L,0,책설명
115027399,잃어버린 시간을 찾아서 7~13 세트 [ 전7권 양장 ],novel,Y,마르셀 프루스트 저/김희영 역,민음사,365,80100 ,2022-12-07,2020-01-08,http://image.yes24.com/goods/115027399/L,0,책설명
115026805,잃어버린 시간을 찾아서 13 되찾은 시간 2 [ 양장 ],novel,Y,마르셀 프루스트 저/김희영 역,민음사,365,14400 ,2022-12-07,2020-01-09,http://image.yes24.com/goods/115026805/L,0,책설명
115026775,잃어버린 시간을 찾아서 12 되찾은 시간 1 [ 양장 ],novel,Y,마르셀 프루스트 저/김희영 역,민음사,365,13500 ,2022-12-07,2020-01-10,http://image.yes24.com/goods/115026775/L,0,책설명
